,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
67,N-Commercial_PV,6,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
68,N-Central_PV-1,6,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
69,N-Central_PV-2,6,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
70,N-Wind-1,6,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
71,N-Wind-2,6,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
72,N-Geothermal,7,North,Geothermal,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
73,N-Coal_IGCC,7,North,Coal_IGCC,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
74,N-Coal_IGCC_CCS,7,North,Coal_IGCC_CCS,2030,-5.295749677561101e-14,0.234104046,-5.295749677561101e-14,-1.2397564261202492e-14,0.803041032,301.12157915208127,-1.7586749154521687e-16,0.0,-5.015074944650362e-14
75,N-Coal_ST,7,North,Coal_ST,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
76,N-NG_CC,7,North,NG_CC,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
77,N-NG_CC_CCS,7,North,NG_CC_CCS,2030,0.0,0.334821429,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
78,N-NG_GT,7,North,NG_GT,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
79,N-Nuclear,7,North,Nuclear,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
80,N-Biomass_IGCC,7,North,Biomass_IGCC,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
81,N-Biomass_IGCC_CCS,7,North,Biomass_IGCC_CCS,2030,0.0,0.234115557,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
82,N-Residential_PV,7,North,Residential_PV,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
83,N-Commercial_PV,7,North,Commercial_PV,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
84,N-Central_PV-1,7,North,Central_PV,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
85,N-Central_PV-2,7,North,Central_PV,2030,0.0,0.0,0.0,0.0,0.803041032,301.12157915208127,0.0,0.0,0.0
86,N-Wind-1,7,North,Wind,2030,225.31496435208132,0.0,225.31496435208132,0.0,0.803041032,301.12157915208127,0.7482524666167686,0.0,213.373271241421
87,N-Wind-2,7,North,Wind,2030,75.80661479999999,0.0,75.80661479999999,0.0,0.803041032,301.12157915208127,0.2517475333832316,0.0,71.78886421559999
88,C-Coal_IGCC,1,Central,Coal_IGCC,2020,149.77545016980793,0.0,149.77545016980793,0.0,0.0,149.77545016980793,1.0,5.75566532216676,136.38673625071618
89,C-Coal_ST,1,Central,Coal_ST,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
90,C-NG_CC,1,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
91,C-NG_GT,1,Central,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
92,C-Biomass_IGCC,1,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
93,C-Residential_PV,1,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
94,C-Commercial_PV,1,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
95,C-Central_PV-1,1,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
96,C-Central_PV-2,1,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
97,C-Wind-1,1,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
98,C-Wind-2,1,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.75566532216676,0.0
99,C-Coal_IGCC,2,Central,Coal_IGCC,2020,149.77545016980793,0.0,149.77545016980793,0.0,0.0,149.77545016980793,1.0,6.325829357305723,135.84679090943956
100,C-Coal_ST,2,Central,Coal_ST,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
101,C-NG_CC,2,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
102,C-NG_GT,2,Central,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
103,C-Biomass_IGCC,2,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
104,C-Residential_PV,2,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
105,C-Commercial_PV,2,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
106,C-Central_PV-1,2,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
107,C-Central_PV-2,2,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
108,C-Wind-1,2,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
109,C-Wind-2,2,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.325829357305723,0.0
110,C-Coal_IGCC,3,Central,Coal_IGCC,2020,149.77545016980793,0.0,149.77545016980793,0.0,0.0,149.77545016980793,1.0,5.825089440434976,136.3209916107162
111,C-Coal_ST,3,Central,Coal_ST,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
112,C-NG_CC,3,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
113,C-NG_GT,3,Central,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
114,C-Biomass_IGCC,3,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
115,C-Residential_PV,3,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
116,C-Commercial_PV,3,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
117,C-Central_PV-1,3,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
118,C-Central_PV-2,3,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
119,C-Wind-1,3,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
120,C-Wind-2,3,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,5.825089440434976,0.0
121,C-Coal_IGCC,4,Central,Coal_IGCC,2020,149.77545016980793,0.0,149.77545016980793,0.0,0.0,149.77545016980793,1.0,6.069345809259257,136.08968082943957
