generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,TotalDispatchGWh
C-Coal_ST,2025011500,C-Coal_ST,Coal_ST,Central,Coal,1095.744,2020,1.692,1.853998848,6674.395853,1682.392715,18.53998848
C-Coal_ST,2025011512,C-Coal_ST,Coal_ST,Central,Coal,1095.744,2020,1.692,1.853998848,6674.395853,1682.392715,18.53998848
C-Coal_ST,2025011600,C-Coal_ST,Coal_ST,Central,Coal,1095.744,2020,1.692,1.853998848,6674.395853,1682.392715,18.53998848
C-Coal_ST,2025011612,C-Coal_ST,Coal_ST,Central,Coal,1095.744,2020,1.692,1.853998848,6674.395853,1682.392715,18.53998848
C-Coal_ST,2025061500,C-Coal_ST,Coal_ST,Central,Coal,2191.5,2020,1.692,3.708018,13348.8648,3364.803854,37.08018
C-Coal_ST,2025061512,C-Coal_ST,Coal_ST,Central,Coal,2191.5,2020,1.692,3.708018,13348.8648,3364.803854,37.08018
C-NG_CC,2025011500,C-NG_CC,NG_CC,Central,NaturalGas,1095.744,2020,2.329548343,2.55258862,6969.792174,908.1275613,25.5258862
C-NG_CC,2025011512,C-NG_CC,NG_CC,Central,NaturalGas,1095.744,2020,1.475898627,1.617207065,4415.751548,575.3493912,16.17207065
C-NG_CC,2025011600,C-NG_CC,NG_CC,Central,NaturalGas,1095.744,2020,2.329548343,2.55258862,6969.792174,908.1275613,25.5258862
C-NG_CC,2025011612,C-NG_CC,NG_CC,Central,NaturalGas,1095.744,2020,1.79268849,1.964327657,5363.55738,698.8435468,19.64327657
C-NG_CC,2025061500,C-NG_CC,NG_CC,Central,NaturalGas,2191.5,2020,2.329548343,5.105205194,13939.66068,1816.265068,51.05205194
C-NG_CC,2025061512,C-NG_CC,NG_CC,Central,NaturalGas,2191.5,2020,2.329548343,5.105205194,13939.66068,1816.265068,51.05205194
C-NG_CC,2035011512,C-NG_CC,NG_CC,Central,NaturalGas,8766,2030,5.655927676,49.579862,135376.8216,17638.89364,495.79862
C-NG_GT,2025011500,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025011512,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025011600,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025011612,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025061500,C-NG_GT,NG_GT,Central,NaturalGas,2191.5,2020,0,0,0,0,0
C-NG_GT,2025061512,C-NG_GT,NG_GT,Central,NaturalGas,2191.5,2020,1.88,4.12002,91652.31691,2271.339834,41.2002
C-NG_GT,2035011512,C-NG_GT,NG_GT,Central,NaturalGas,8766,2030,0,0,0,0,0
C-Nuclear,2035011512,C-Nuclear,Nuclear,Central,Uranium,8766,2030,0,0,0,0,0
C-Biomass_IGCC,2025011500,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025011512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025011600,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025011612,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025061500,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2191.5,2020,0,0,0,0,0
C-Biomass_IGCC,2025061512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2191.5,2020,0,0,0,0,0
C-Biomass_IGCC,2035011512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,8766,2030,0,0,0,0,0
C-Residential_PV,2025011500,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Residential_PV,2025011512,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Residential_PV,2025011600,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Residential_PV,2025011612,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,3.12E-16,3.42E-16,0,0,3.42266E-15
C-Residential_PV,2025061500,C-Residential_PV,Residential_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Residential_PV,2025061512,C-Residential_PV,Residential_PV,Central,Solar,2191.5,2020,0,0,0,0,0
