GEN_TPS_1,GEN_TPS_2,DispatchGen,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,VariableDispatchGWh
S-Commercial_PV,1,0,12,4,913.12,0
S-Commercial_PV,2,7.26E-16,12,4,913.12,7.95005E-15
S-Commercial_PV,3,0,12,4,913.12,0
S-Commercial_PV,4,7.81E-16,12,4,913.12,8.56184E-15
S-Commercial_PV,5,0,12,2,1826.25,0
S-Commercial_PV,6,0,12,2,1826.25,0
S-Commercial_PV,7,1.39E-15,24,1,3652.5,1.21695E-13
S-Central_PV-1,1,0,12,4,913.12,0
S-Central_PV-1,2,-5.55E-17,12,4,913.12,-6.0826E-16
S-Central_PV-1,3,0,12,4,913.12,0
S-Central_PV-1,4,3.73E-17,12,4,913.12,4.08369E-16
S-Central_PV-1,5,0,12,2,1826.25,0
S-Central_PV-1,6,0,12,2,1826.25,0
S-Central_PV-1,7,0,24,1,3652.5,0
S-Central_PV-2,1,0,12,4,913.12,0
S-Central_PV-2,2,0,12,4,913.12,0
S-Central_PV-2,3,0,12,4,913.12,0
S-Central_PV-2,4,0,12,4,913.12,0
S-Central_PV-2,5,0,12,2,1826.25,0
S-Central_PV-2,6,0,12,2,1826.25,0
S-Central_PV-2,7,0,24,1,3652.5,0
,,,,,,2537.785194
