,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
141,C-Wind-1,5,Central,Wind,2020,-1.2165268792330145e-14,0.0,-1.2165268792330145e-14,-0.0,0.0,78.2803800000002,-1.5540635843017258e-16,0.5313528950369687,-1.144231043565595e-14
142,C-Wind-2,5,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
143,C-Coal_IGCC,6,Central,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,158.6032380000002,0.0,3.142605871385721,0.0
144,C-Coal_ST,6,Central,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,158.6032380000002,0.23379207428287152,3.142605871385721,34.419154080977414
145,C-NG_CC,6,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,158.6032380000002,0.0,3.142605871385721,0.0
146,C-NG_GT,6,Central,NG_GT,2020,41.20020000000022,0.0,41.20020000000022,0.0,0.0,158.6032380000002,0.2597689714254142,3.142605871385721,38.24350453441955
147,C-Biomass_IGCC,6,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,158.6032380000002,0.0,3.142605871385721,0.0
148,C-Residential_PV,6,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,158.6032380000002,0.0,3.142605871385721,0.0
149,C-Commercial_PV,6,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,158.6032380000002,0.0,3.142605871385721,0.0
150,C-Central_PV-1,6,Central,Central_PV,2020,33.933186,0.0,33.933186,0.0,0.0,158.6032380000002,0.2139501464654836,3.142605871385721,31.498001287816443
151,C-Central_PV-2,6,Central,Central_PV,2020,46.389672,0.0,46.389672,0.0,0.0,158.6032380000002,0.29248880782623077,3.142605871385721,43.06055872258451
152,C-Wind-1,6,Central,Wind,2020,-3.0413171980825477e-15,0.0,-3.0413171980825477e-15,-0.0,0.0,158.6032380000002,-1.917563119412823e-17,3.142605871385721,-2.823059792318422e-15
153,C-Wind-2,6,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,158.6032380000002,0.0,3.142605871385721,0.0
154,C-Coal_IGCC,7,Central,Coal_IGCC,2030,0.0,0.0,0.0,0.0,0.0,714.9654792000007,0.0,20.41551016845724,0.0
155,C-NG_CC,7,Central,NG_CC,2030,0.0,0.0,0.0,0.0,0.0,714.9654792000007,0.0,20.41551016845724,0.0
156,C-NG_GT,7,Central,NG_GT,2030,7.476596700386391e-13,0.0,7.476596700386391e-13,0.0,0.0,714.9654792000007,1.045728348836116e-15,20.41551016845724,6.878161309076563e-13
157,C-Nuclear,7,Central,Nuclear,2030,0.0,0.0,0.0,0.0,0.0,714.9654792000007,0.0,20.41551016845724,0.0
158,C-Biomass_IGCC,7,Central,Biomass_IGCC,2030,0.0,0.0,0.0,0.0,0.0,714.9654792000007,0.0,20.41551016845724,0.0
159,C-Residential_PV,7,Central,Residential_PV,2030,14.604156,0.0,14.604156,0.0,0.0,714.9654792000007,0.02042637920972225,20.41551016845724,13.435222572019576
160,C-Commercial_PV,7,Central,Commercial_PV,2030,24.053903999999996,0.0,24.053903999999996,0.0,0.0,714.9654792000007,0.03364344811013076,20.41551016845724,22.128601883326358
161,C-Central_PV-1,7,Central,Central_PV,2030,67.00730399999999,0.0,67.00730399999999,0.0,0.0,714.9654792000007,0.09372103402107855,20.41551016845724,61.643962389266285
162,C-Central_PV-2,7,Central,Central_PV,2030,105.665364,0.0,105.665364,0.0,0.0,714.9654792000007,0.14779086134093158,20.41551016845724,97.20778684461222
163,C-Wind-1,7,Central,Wind,2030,278.828928,0.0,278.828928,0.0,0.0,714.9654792000007,0.38998935768478116,20.41551016845724,256.5111401985587
164,C-Wind-2,7,Central,Wind,2030,224.8058232,0.0,224.8058232,0.0,0.0,714.9654792000007,0.3144289196333548,20.41551016845724,206.81210678508788
165,S-Geothermal,1,South,Geothermal,2020,31.83949635984,0.0,31.83949635984,0.0,0.0,69.42411826821535,0.4586229851250004,0.0,30.152003052768478
166,S-NG_CC,1,South,NG_CC,2020,16.98463470837535,0.0,16.98463470837535,0.0,0.0,69.42411826821535,0.2446503482083326,0.0,16.084449068831454
167,S-NG_GT,1,South,NG_GT,2020,20.599987199999998,0.0,20.599987199999998,0.0,0.0,69.42411826821535,0.2967266666666669,0.0,19.508187878399998
168,S-Biomass_IGCC,1,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,69.42411826821535,0.0,0.0,0.0
169,S-Residential_PV,1,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,69.42411826821535,0.0,0.0,0.0
170,S-Commercial_PV,1,South,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,69.42411826821535,0.0,0.0,0.0
171,S-Central_PV-1,1,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,69.42411826821535,0.0,0.0,0.0
172,S-Central_PV-2,1,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,69.42411826821535,0.0,0.0,0.0
173,S-Geothermal,2,South,Geothermal,2020,31.83949635984,0.0,31.83949635984,0.0,0.0,45.13742278719246,0.7053902148988956,0.0,30.152003052768478
174,S-NG_CC,2,South,NG_CC,2020,-1.1678594091790724e-13,0.0,-1.1678594091790724e-13,-0.0,0.0,45.13742278719246,-2.587341804349643e-15,0.0,-1.1059628604925814e-13
175,S-NG_GT,2,South,NG_GT,2020,13.297926427352584,0.0,13.297926427352584,0.0,0.0,45.13742278719246,0.294609785101107,0.0,12.593136326702897
176,S-Biomass_IGCC,2,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,45.13742278719246,0.0,0.0,0.0
177,S-Residential_PV,2,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,45.13742278719246,0.0,0.0,0.0
178,S-Commercial_PV,2,South,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,45.13742278719246,0.0,0.0,0.0
179,S-Central_PV-1,2,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,45.13742278719246,0.0,0.0,0.0
180,S-Central_PV-2,2,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,45.13742278719246,0.0,0.0,0.0
181,S-Geothermal,3,South,Geothermal,2020,31.83949635984,0.0,31.83949635984,0.0,0.0,75.20946145723325,0.4233442939615391,0.0,30.152003052768478
182,S-NG_CC,3,South,NG_CC,2020,22.769977897393247,0.0,22.769977897393247,0.0,0.0,75.20946145723325,0.302754167576922,0.0,21.563169068831403
183,S-NG_GT,3,South,NG_GT,2020,20.599987199999998,0.0,20.599987199999998,0.0,0.0,75.20946145723325,0.27390153846153886,0.0,19.508187878399998
184,S-Biomass_IGCC,3,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,75.20946145723325,0.0,0.0,0.0
185,S-Residential_PV,3,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,75.20946145723325,0.0,0.0,0.0
